municipality,equipment_id,equipment_name,demand,allocated,priority_score,cost
Siliguri,E037,Drain Jetting Pump,6,2,8.7,900000
Udaipur,E037,Drain Jetting Pump,6,2,8.6,900000
Panaji,E037,Drain Jetting Pump,7,1,8.15,450000
Guwahati,E037,Drain Jetting Pump,5,1,7.95,450000
Tirupati,E037,Drain Jetting Pump,6,1,7.45,450000
Haldia,E037,Drain Jetting Pump,6,1,7.2,450000
Kharagpur,E037,Drain Jetting Pump,5,1,6.3,450000
Shimla,E037,Drain Jetting Pump,5,1,6.25,450000
Malda,E037,Drain Jetting Pump,4,1,5.25,450000
Delhi,E038,Manhole Cleaning Robot,20,1,44.0,4500000
Mumbai,E038,Manhole Cleaning Robot,20,1,37.5,4500000
Bengaluru,E038,Manhole Cleaning Robot,18,1,31.4,4500000
Chennai,E038,Manhole Cleaning Robot,17,1,29.1,4500000
Hyderabad,E038,Manhole Cleaning Robot,16,1,27.8,4500000
Ahmedabad,E038,Manhole Cleaning Robot,15,1,25.6,4500000
Kolkata,E038,Manhole Cleaning Robot,15,1,24.5,4500000
Surat,E038,Manhole Cleaning Robot,14,1,21.6,4500000
Pune,E038,Manhole Cleaning Robot,14,0,20.9,0
Lucknow,E038,Manhole Cleaning Robot,12,0,18.3,0
Coimbatore,E038,Manhole Cleaning Robot,13,0,18.1,0
Jaipur,E038,Manhole Cleaning Robot,12,0,18.1,0
Visakhapatnam,E038,Manhole Cleaning Robot,13,0,18.0,0
Thane,E038,Manhole Cleaning Robot,13,0,17.9,0
Nagpur,E038,Manhole Cleaning Robot,12,0,17.4,0
Indore,E038,Manhole Cleaning Robot,12,0,17.2,0
Ludhiana,E038,Manhole Cleaning Robot,12,0,16.8,0
Kanpur,E038,Manhole Cleaning Robot,11,0,16.8,0
Faridabad,E038,Manhole Cleaning Robot,12,0,16.7,0
Howrah,E038,Manhole Cleaning Robot,12,0,16.1,0
Kochi,E038,Manhole Cleaning Robot,13,0,15.98,0
Asansol,E038,Manhole Cleaning Robot,11,0,15.2,0
Patna,E038,Manhole Cleaning Robot,10,0,15.1,0
Nashik,E038,Manhole Cleaning Robot,11,0,14.7,0
Madurai,E038,Manhole Cleaning Robot,11,0,14.5,0
Jabalpur,E038,Manhole Cleaning Robot,11,0,14.3,0
Amritsar,E038,Manhole Cleaning Robot,11,0,14.2,0
Vijayawada,E038,Manhole Cleaning Robot,11,0,14.1,0
Mysuru,E038,Manhole Cleaning Robot,11,0,14.1,0
Agra,E038,Manhole Cleaning Robot,10,0,13.7,0
Durgapur,E038,Manhole Cleaning Robot,11,0,13.58,0
Varanasi,E038,Manhole Cleaning Robot,10,0,13.4,0
Aurangabad,E038,Manhole Cleaning Robot,10,0,13.3,0
Raipur,E038,Manhole Cleaning Robot,10,0,13.15,0
Bhubaneswar,E038,Manhole Cleaning Robot,10,0,13.1,0
Gwalior,E038,Manhole Cleaning Robot,10,0,13.05,0
Siliguri,E038,Manhole Cleaning Robot,10,0,12.7,0
Udaipur,E038,Manhole Cleaning Robot,10,0,12.6,0
Srinagar,E038,Manhole Cleaning Robot,9,0,12.25,0
Ranchi,E038,Manhole Cleaning Robot,9,0,12.2,0
Panaji,E038,Manhole Cleaning Robot,11,0,12.15,0
Jodhpur,E038,Manhole Cleaning Robot,9,0,12.1,0
Guwahati,E038,Manhole Cleaning Robot,9,0,11.95,0
Hubli,E038,Manhole Cleaning Robot,9,0,11.95,0
Dehradun,E038,Manhole Cleaning Robot,9,0,11.85,0
Tirupati,E038,Manhole Cleaning Robot,9,0,10.45,0
Kharagpur,E038,Manhole Cleaning Robot,9,0,10.3,0
Haldia,E038,Manhole Cleaning Robot,9,0,10.2,0
Shimla,E038,Manhole Cleaning Robot,8,0,9.25,0
Malda,E038,Manhole Cleaning Robot,8,0,9.25,0
Delhi,E039,Sewer Safety Tripod Kit,20,13,44.0,1040000
Mumbai,E039,Sewer Safety Tripod Kit,20,11,37.5,880000
Bengaluru,E039,Sewer Safety Tripod Kit,18,9,31.4,720000
Chennai,E039,Sewer Safety Tripod Kit,17,9,29.1,720000
Hyderabad,E039,Sewer Safety Tripod Kit,16,8,27.8,640000
Ahmedabad,E039,Sewer Safety Tripod Kit,15,8,25.6,640000
Kolkata,E039,Sewer Safety Tripod Kit,15,7,24.5,560000
Surat,E039,Sewer Safety Tripod Kit,14,6,21.6,480000
Pune,E039,Sewer Safety Tripod Kit,14,6,20.9,480000
Lucknow,E039,Sewer Safety Tripod Kit,12,5,18.3,400000
Coimbatore,E039,Sewer Safety Tripod Kit,13,5,18.1,400000
Jaipur,E039,Sewer Safety Tripod Kit,12,5,18.1,400000
Visakhapatnam,E039,Sewer Safety Tripod Kit,13,5,18.0,400000
Thane,E039,Sewer Safety Tripod Kit,13,5,17.9,400000
Nagpur,E039,Sewer Safety Tripod Kit,12,5,17.4,400000
Indore,E039,Sewer Safety Tripod Kit,12,5,17.2,400000
Ludhiana,E039,Sewer Safety Tripod Kit,12,5,16.8,400000
Kanpur,E039,Sewer Safety Tripod Kit,11,5,16.8,400000
Faridabad,E039,Sewer Safety Tripod Kit,12,5,16.7,400000
Howrah,E039,Sewer Safety Tripod Kit,12,5,16.1,400000
Kochi,E039,Sewer Safety Tripod Kit,13,5,15.98,400000
Asansol,E039,Sewer Safety Tripod Kit,11,5,15.2,400000
Patna,E039,Sewer Safety Tripod Kit,10,5,15.1,400000
Nashik,E039,Sewer Safety Tripod Kit,11,4,14.7,320000
Madurai,E039,Sewer Safety Tripod Kit,11,4,14.5,320000
Jabalpur,E039,Sewer Safety Tripod Kit,11,4,14.3,320000
Amritsar,E039,Sewer Safety Tripod Kit,11,4,14.2,320000
Vijayawada,E039,Sewer Safety Tripod Kit,11,4,14.1,320000
Mysuru,E039,Sewer Safety Tripod Kit,11,4,14.1,320000
Agra,E039,Sewer Safety Tripod Kit,10,4,13.7,320000
Durgapur,E039,Sewer Safety Tripod Kit,11,4,13.58,320000
Varanasi,E039,Sewer Safety Tripod Kit,10,4,13.4,320000
Aurangabad,E039,Sewer Safety Tripod Kit,10,4,13.3,320000
Raipur,E039,Sewer Safety Tripod Kit,10,4,13.15,320000
Bhubaneswar,E039,Sewer Safety Tripod Kit,10,4,13.1,320000
Gwalior,E039,Sewer Safety Tripod Kit,10,4,13.05,320000
Siliguri,E039,Sewer Safety Tripod Kit,10,4,12.7,320000
Udaipur,E039,Sewer Safety Tripod Kit,10,4,12.6,320000
Srinagar,E039,Sewer Safety Tripod Kit,9,4,12.25,320000
Ranchi,E039,Sewer Safety Tripod Kit,9,4,12.2,320000
Panaji,E039,Sewer Safety Tripod Kit,11,4,12.15,320000
Jodhpur,E039,Sewer Safety Tripod Kit,9,4,12.1,320000
Guwahati,E039,Sewer Safety Tripod Kit,9,4,11.95,320000
Hubli,E039,Sewer Safety Tripod Kit,9,4,11.95,320000
Dehradun,E039,Sewer Safety Tripod Kit,9,4,11.85,320000
Tirupati,E039,Sewer Safety Tripod Kit,9,3,10.45,240000
Kharagpur,E039,Sewer Safety Tripod Kit,9,3,10.3,240000
Haldia,E039,Sewer Safety Tripod Kit,9,3,10.2,240000
Shimla,E039,Sewer Safety Tripod Kit,8,3,9.25,240000
Malda,E039,Sewer Safety Tripod Kit,8,3,9.25,240000
Delhi,E040,Portable Sludge Pump,16,12,40.0,3000000
Mumbai,E040,Portable Sludge Pump,13,9,30.5,2250000
Bengaluru,E040,Portable Sludge Pump,11,7,24.4,1750000
Chennai,E040,Portable Sludge Pump,10,7,22.1,1750000
Hyderabad,E040,Portable Sludge Pump,10,7,21.8,1750000
Ahmedabad,E040,Portable Sludge Pump,9,6,19.6,1500000
Kolkata,E040,Portable Sludge Pump,9,6,18.5,1500000
Surat,E040,Portable Sludge Pump,8,5,15.6,1250000
Pune,E040,Portable Sludge Pump,8,4,14.9,1000000
Nagpur,E040,Portable Sludge Pump,7,4,12.4,1000000
Lucknow,E040,Portable Sludge Pump,6,4,12.3,1000000
Jaipur,E040,Portable Sludge Pump,6,4,12.1,1000000
Coimbatore,E040,Portable Sludge Pump,7,4,12.1,1000000
Visakhapatnam,E040,Portable Sludge Pump,7,4,12.0,1000000
Thane,E040,Portable Sludge Pump,7,4,11.9,1000000
Kanpur,E040,Portable Sludge Pump,6,4,11.8,1000000
Indore,E040,Portable Sludge Pump,6,3,11.2,750000
Ludhiana,E040,Portable Sludge Pump,6,3,10.8,750000
Faridabad,E040,Portable Sludge Pump,6,3,10.7,750000
Asansol,E040,Portable Sludge Pump,6,3,10.2,750000
Howrah,E040,Portable Sludge Pump,6,3,10.1,750000
Patna,E040,Portable Sludge Pump,5,3,10.1,750000
Nashik,E040,Portable Sludge Pump,6,3,9.7,750000
Madurai,E040,Portable Sludge Pump,6,3,9.5,750000
Amritsar,E040,Portable Sludge Pump,6,3,9.2,750000
Vijayawada,E040,Portable Sludge Pump,6,3,9.1,750000
Mysuru,E040,Portable Sludge Pump,6,3,9.1,750000
Kochi,E040,Portable Sludge Pump,6,3,8.98,750000
Agra,E040,Portable Sludge Pump,5,3,8.7,750000
Varanasi,E040,Portable Sludge Pump,5,3,8.4,750000
Aurangabad,E040,Portable Sludge Pump,5,2,8.3,500000
Jabalpur,E040,Portable Sludge Pump,5,2,8.3,500000
Raipur,E040,Portable Sludge Pump,5,2,8.15,500000
Bhubaneswar,E040,Portable Sludge Pump,5,2,8.1,500000
Jodhpur,E040,Portable Sludge Pump,5,2,8.1,500000
Gwalior,E040,Portable Sludge Pump,5,2,8.05,500000
Hubli,E040,Portable Sludge Pump,5,2,7.95,500000
Siliguri,E040,Portable Sludge Pump,5,2,7.7,500000
Udaipur,E040,Portable Sludge Pump,5,2,7.6,500000
Durgapur,E040,Portable Sludge Pump,5,2,7.58,500000
Srinagar,E040,Portable Sludge Pump,4,2,7.25,500000
Ranchi,E040,Portable Sludge Pump,4,2,7.2,500000
Guwahati,E040,Portable Sludge Pump,4,2,6.95,500000
Dehradun,E040,Portable Sludge Pump,4,2,6.85,500000
Panaji,E040,Portable Sludge Pump,5,2,6.15,500000
Tirupati,E040,Portable Sludge Pump,4,2,5.45,500000
Kharagpur,E040,Portable Sludge Pump,4,2,5.3,500000
Shimla,E040,Portable Sludge Pump,4,2,5.25,500000
Haldia,E040,Portable Sludge Pump,4,2,5.2,500000
Malda,E040,Portable Sludge Pump,3,1,4.25,250000
Delhi,E041,Drain Cleaning Machine,20,6,44.0,7200000
Mumbai,E041,Drain Cleaning Machine,17,5,34.5,6000000
Bengaluru,E041,Drain Cleaning Machine,14,4,27.4,4800000
Chennai,E041,Drain Cleaning Machine,13,4,25.1,4800000
Hyderabad,E041,Drain Cleaning Machine,12,3,23.8,3600000
Ahmedabad,E041,Drain Cleaning Machine,11,3,21.6,3600000
Kolkata,E041,Drain Cleaning Machine,11,3,20.5,3600000
Surat,E041,Drain Cleaning Machine,10,3,17.6,3600000
Pune,E041,Drain Cleaning Machine,10,2,16.9,2400000
Lucknow,E041,Drain Cleaning Machine,9,2,15.3,2400000
Jaipur,E041,Drain Cleaning Machine,9,2,15.1,2400000
Nagpur,E041,Drain Cleaning Machine,9,2,14.4,2400000
Indore,E041,Drain Cleaning Machine,9,2,14.2,2400000
Coimbatore,E041,Drain Cleaning Machine,9,2,14.1,2400000
Visakhapatnam,E041,Drain Cleaning Machine,9,2,14.0,2400000
Thane,E041,Drain Cleaning Machine,9,2,13.9,2400000
Kanpur,E041,Drain Cleaning Machine,8,2,13.8,2400000
Faridabad,E041,Drain Cleaning Machine,9,2,13.7,2400000
Ludhiana,E041,Drain Cleaning Machine,8,2,12.8,2400000
Asansol,E041,Drain Cleaning Machine,8,2,12.2,2400000
Howrah,E041,Drain Cleaning Machine,8,2,12.1,2400000
Patna,E041,Drain Cleaning Machine,7,2,12.1,2400000
Kochi,E041,Drain Cleaning Machine,9,2,11.98,2400000
Nashik,E041,Drain Cleaning Machine,8,2,11.7,2400000
Madurai,E041,Drain Cleaning Machine,8,2,11.5,2400000
Jabalpur,E041,Drain Cleaning Machine,8,2,11.3,2400000
Mysuru,E041,Drain Cleaning Machine,8,2,11.1,2400000
Vijayawada,E041,Drain Cleaning Machine,8,2,11.1,2400000
Agra,E041,Drain Cleaning Machine,7,2,10.7,2400000
Durgapur,E041,Drain Cleaning Machine,8,2,10.58,2400000
Varanasi,E041,Drain Cleaning Machine,7,2,10.4,2400000
Aurangabad,E041,Drain Cleaning Machine,7,2,10.3,2400000
Amritsar,E041,Drain Cleaning Machine,7,1,10.2,1200000
Ranchi,E041,Drain Cleaning Machine,7,1,10.2,1200000
Raipur,E041,Drain Cleaning Machine,7,1,10.15,1200000
Bhubaneswar,E041,Drain Cleaning Machine,7,1,10.1,1200000
Jodhpur,E041,Drain Cleaning Machine,7,1,10.1,1200000
Gwalior,E041,Drain Cleaning Machine,7,1,10.05,1200000
Guwahati,E041,Drain Cleaning Machine,7,1,9.95,1200000
Dehradun,E041,Drain Cleaning Machine,7,1,9.85,1200000
Siliguri,E041,Drain Cleaning Machine,7,1,9.7,1200000
Udaipur,E041,Drain Cleaning Machine,7,1,9.6,1200000
Srinagar,E041,Drain Cleaning Machine,6,1,9.25,1200000
Hubli,E041,Drain Cleaning Machine,6,1,8.95,1200000
Panaji,E041,Drain Cleaning Machine,7,1,8.15,1200000
Tirupati,E041,Drain Cleaning Machine,6,1,7.45,1200000
Kharagpur,E041,Drain Cleaning Machine,6,1,7.3,1200000
Haldia,E041,Drain Cleaning Machine,6,1,7.2,1200000
Shimla,E041,Drain Cleaning Machine,5,1,6.25,1200000
Malda,E041,Drain Cleaning Machine,5,1,6.25,1200000
Delhi,E042,Sewer Vacuum Tanker,20,3,44.0,7800000
Mumbai,E042,Sewer Vacuum Tanker,17,3,34.5,7800000
Bengaluru,E042,Sewer Vacuum Tanker,14,2,27.4,5200000
Chennai,E042,Sewer Vacuum Tanker,13,2,25.1,5200000
Hyderabad,E042,Sewer Vacuum Tanker,12,2,23.8,5200000
Ahmedabad,E042,Sewer Vacuum Tanker,11,2,21.6,5200000
Kolkata,E042,Sewer Vacuum Tanker,11,2,20.5,5200000
Surat,E042,Sewer Vacuum Tanker,10,1,17.6,2600000
Pune,E042,Sewer Vacuum Tanker,10,1,16.9,2600000
Lucknow,E042,Sewer Vacuum Tanker,9,1,15.3,2600000
Jaipur,E042,Sewer Vacuum Tanker,9,1,15.1,2600000
Nagpur,E042,Sewer Vacuum Tanker,9,1,14.4,2600000
Indore,E042,Sewer Vacuum Tanker,9,1,14.2,2600000
Coimbatore,E042,Sewer Vacuum Tanker,9,1,14.1,2600000
Visakhapatnam,E042,Sewer Vacuum Tanker,9,1,14.0,2600000
Thane,E042,Sewer Vacuum Tanker,9,1,13.9,2600000
Kanpur,E042,Sewer Vacuum Tanker,8,1,13.8,2600000
Faridabad,E042,Sewer Vacuum Tanker,9,1,13.7,2600000
Ludhiana,E042,Sewer Vacuum Tanker,8,1,12.8,2600000
Asansol,E042,Sewer Vacuum Tanker,8,1,12.2,2600000
Howrah,E042,Sewer Vacuum Tanker,8,1,12.1,2600000
Patna,E042,Sewer Vacuum Tanker,7,1,12.1,2600000
Kochi,E042,Sewer Vacuum Tanker,9,1,11.98,2600000
Nashik,E042,Sewer Vacuum Tanker,8,1,11.7,2600000
Madurai,E042,Sewer Vacuum Tanker,8,1,11.5,2600000
Jabalpur,E042,Sewer Vacuum Tanker,8,1,11.3,2600000
Mysuru,E042,Sewer Vacuum Tanker,8,1,11.1,2600000
Vijayawada,E042,Sewer Vacuum Tanker,8,1,11.1,2600000
Agra,E042,Sewer Vacuum Tanker,7,1,10.7,2600000
Durgapur,E042,Sewer Vacuum Tanker,8,1,10.58,2600000
Varanasi,E042,Sewer Vacuum Tanker,7,1,10.4,2600000
Aurangabad,E042,Sewer Vacuum Tanker,7,1,10.3,2600000
Amritsar,E042,Sewer Vacuum Tanker,7,1,10.2,2600000
Ranchi,E042,Sewer Vacuum Tanker,7,1,10.2,2600000
Raipur,E042,Sewer Vacuum Tanker,7,1,10.15,2600000
Bhubaneswar,E042,Sewer Vacuum Tanker,7,1,10.1,2600000
Jodhpur,E042,Sewer Vacuum Tanker,7,1,10.1,2600000
Gwalior,E042,Sewer Vacuum Tanker,7,1,10.05,2600000
Guwahati,E042,Sewer Vacuum Tanker,7,1,9.95,2600000
Dehradun,E042,Sewer Vacuum Tanker,7,1,9.85,2600000
Siliguri,E042,Sewer Vacuum Tanker,7,1,9.7,2600000
Udaipur,E042,Sewer Vacuum Tanker,7,1,9.6,2600000
Srinagar,E042,Sewer Vacuum Tanker,6,1,9.25,2600000
Hubli,E042,Sewer Vacuum Tanker,6,1,8.95,2600000
Panaji,E042,Sewer Vacuum Tanker,7,1,8.15,2600000
Tirupati,E042,Sewer Vacuum Tanker,6,1,7.45,2600000
Kharagpur,E042,Sewer Vacuum Tanker,6,1,7.3,2600000
Haldia,E042,Sewer Vacuum Tanker,6,1,7.2,2600000
Shimla,E042,Sewer Vacuum Tanker,5,0,6.25,0
Malda,E042,Sewer Vacuum Tanker,5,0,6.25,0
Delhi,E043,Portable Manhole Lifter,20,19,44.0,760000
Mumbai,E043,Portable Manhole Lifter,17,15,34.5,600000
Bengaluru,E043,Portable Manhole Lifter,14,12,27.4,480000
Chennai,E043,Portable Manhole Lifter,13,11,25.1,440000
Hyderabad,E043,Portable Manhole Lifter,12,10,23.8,400000
Ahmedabad,E043,Portable Manhole Lifter,11,10,21.6,400000
Kolkata,E043,Portable Manhole Lifter,11,9,20.5,360000
Surat,E043,Portable Manhole Lifter,10,8,17.6,320000
Pune,E043,Portable Manhole Lifter,10,7,16.9,280000
Lucknow,E043,Portable Manhole Lifter,9,7,15.3,280000
Jaipur,E043,Portable Manhole Lifter,9,7,15.1,280000
Nagpur,E043,Portable Manhole Lifter,9,6,14.4,240000
Indore,E043,Portable Manhole Lifter,9,6,14.2,240000
Coimbatore,E043,Portable Manhole Lifter,9,6,14.1,240000
Visakhapatnam,E043,Portable Manhole Lifter,9,6,14.0,240000
Thane,E043,Portable Manhole Lifter,9,6,13.9,240000
Kanpur,E043,Portable Manhole Lifter,8,6,13.8,240000
Faridabad,E043,Portable Manhole Lifter,9,6,13.7,240000
Ludhiana,E043,Portable Manhole Lifter,8,6,12.8,240000
Asansol,E043,Portable Manhole Lifter,8,5,12.2,200000
Howrah,E043,Portable Manhole Lifter,8,5,12.1,200000
Patna,E043,Portable Manhole Lifter,7,5,12.1,200000
Kochi,E043,Portable Manhole Lifter,9,5,11.98,200000
Nashik,E043,Portable Manhole Lifter,8,5,11.7,200000
Madurai,E043,Portable Manhole Lifter,8,5,11.5,200000
Jabalpur,E043,Portable Manhole Lifter,8,5,11.3,200000
Mysuru,E043,Portable Manhole Lifter,8,5,11.1,200000
Vijayawada,E043,Portable Manhole Lifter,8,5,11.1,200000
Agra,E043,Portable Manhole Lifter,7,5,10.7,200000
Durgapur,E043,Portable Manhole Lifter,8,5,10.58,200000
Varanasi,E043,Portable Manhole Lifter,7,5,10.4,200000
Aurangabad,E043,Portable Manhole Lifter,7,5,10.3,200000
Amritsar,E043,Portable Manhole Lifter,7,4,10.2,160000
Ranchi,E043,Portable Manhole Lifter,7,4,10.2,160000
Raipur,E043,Portable Manhole Lifter,7,4,10.15,160000
Bhubaneswar,E043,Portable Manhole Lifter,7,4,10.1,160000
Jodhpur,E043,Portable Manhole Lifter,7,4,10.1,160000
Gwalior,E043,Portable Manhole Lifter,7,4,10.05,160000
Guwahati,E043,Portable Manhole Lifter,7,4,9.95,160000
Dehradun,E043,Portable Manhole Lifter,7,4,9.85,160000
Siliguri,E043,Portable Manhole Lifter,7,4,9.7,160000
Udaipur,E043,Portable Manhole Lifter,7,4,9.6,160000
Srinagar,E043,Portable Manhole Lifter,6,4,9.25,160000
Hubli,E043,Portable Manhole Lifter,6,4,8.95,160000
Panaji,E043,Portable Manhole Lifter,7,4,8.15,160000
Tirupati,E043,Portable Manhole Lifter,6,3,7.45,120000
Kharagpur,E043,Portable Manhole Lifter,6,3,7.3,120000
Haldia,E043,Portable Manhole Lifter,6,3,7.2,120000
Shimla,E043,Portable Manhole Lifter,5,3,6.25,120000
Malda,E043,Portable Manhole Lifter,5,3,6.25,120000
Delhi,E044,Desilting Bucket Attachment,20,7,44.0,1260000
Mumbai,E044,Desilting Bucket Attachment,19,6,36.5,1080000
Bengaluru,E044,Desilting Bucket Attachment,16,4,29.4,720000
Chennai,E044,Desilting Bucket Attachment,15,4,27.1,720000
Hyderabad,E044,Desilting Bucket Attachment,14,4,25.8,720000
Ahmedabad,E044,Desilting Bucket Attachment,13,4,23.6,720000
Kolkata,E044,Desilting Bucket Attachment,13,3,22.5,540000
Surat,E044,Desilting Bucket Attachment,11,3,18.6,540000
Pune,E044,Desilting Bucket Attachment,11,3,17.9,540000
Lucknow,E044,Desilting Bucket Attachment,10,2,16.3,360000
Jaipur,E044,Desilting Bucket Attachment,10,2,16.1,360000
Nagpur,E044,Desilting Bucket Attachment,10,2,15.4,360000
Indore,E044,Desilting Bucket Attachment,10,2,15.2,360000
Coimbatore,E044,Desilting Bucket Attachment,10,2,15.1,360000
Visakhapatnam,E044,Desilting Bucket Attachment,10,2,15.0,360000
Thane,E044,Desilting Bucket Attachment,10,2,14.9,360000
Kanpur,E044,Desilting Bucket Attachment,9,2,14.8,360000
Ludhiana,E044,Desilting Bucket Attachment,9,2,13.8,360000
Faridabad,E044,Desilting Bucket Attachment,9,2,13.7,360000
Asansol,E044,Desilting Bucket Attachment,9,2,13.2,360000
Howrah,E044,Desilting Bucket Attachment,9,2,13.1,360000
Patna,E044,Desilting Bucket Attachment,8,2,13.1,360000
Kochi,E044,Desilting Bucket Attachment,10,2,12.98,360000
Nashik,E044,Desilting Bucket Attachment,9,2,12.7,360000
Madurai,E044,Desilting Bucket Attachment,9,2,12.5,360000
Mysuru,E044,Desilting Bucket Attachment,9,2,12.1,360000
Vijayawada,E044,Desilting Bucket Attachment,9,2,12.1,360000
Agra,E044,Desilting Bucket Attachment,8,2,11.7,360000
Jabalpur,E044,Desilting Bucket Attachment,8,2,11.3,360000
Aurangabad,E044,Desilting Bucket Attachment,8,2,11.3,360000
Amritsar,E044,Desilting Bucket Attachment,8,2,11.2,360000
Ranchi,E044,Desilting Bucket Attachment,8,2,11.2,360000
Raipur,E044,Desilting Bucket Attachment,8,2,11.15,360000
Bhubaneswar,E044,Desilting Bucket Attachment,8,2,11.1,360000
Gwalior,E044,Desilting Bucket Attachment,8,2,11.05,360000
Guwahati,E044,Desilting Bucket Attachment,8,2,10.95,360000
Siliguri,E044,Desilting Bucket Attachment,8,2,10.7,360000
Durgapur,E044,Desilting Bucket Attachment,8,2,10.58,360000
Varanasi,E044,Desilting Bucket Attachment,7,2,10.4,360000
Srinagar,E044,Desilting Bucket Attachment,7,2,10.25,360000
Jodhpur,E044,Desilting Bucket Attachment,7,2,10.1,360000
Hubli,E044,Desilting Bucket Attachment,7,2,9.95,360000
Dehradun,E044,Desilting Bucket Attachment,7,1,9.85,180000
Udaipur,E044,Desilting Bucket Attachment,7,1,9.6,180000
Panaji,E044,Desilting Bucket Attachment,8,1,9.15,180000
Tirupati,E044,Desilting Bucket Attachment,7,1,8.45,180000
Kharagpur,E044,Desilting Bucket Attachment,7,1,8.3,180000
Haldia,E044,Desilting Bucket Attachment,7,1,8.2,180000
Shimla,E044,Desilting Bucket Attachment,6,1,7.25,180000
Malda,E044,Desilting Bucket Attachment,6,1,7.25,180000
Delhi,E045,Drain CCTV Inspection Unit,18,2,42.0,7600000
Mumbai,E045,Drain CCTV Inspection Unit,15,1,32.5,3800000
Bengaluru,E045,Drain CCTV Inspection Unit,12,1,25.4,3800000
Chennai,E045,Drain CCTV Inspection Unit,12,1,24.1,3800000
Hyderabad,E045,Drain CCTV Inspection Unit,11,1,22.8,3800000
Ahmedabad,E045,Drain CCTV Inspection Unit,10,1,20.6,3800000
Kolkata,E045,Drain CCTV Inspection Unit,10,1,19.5,3800000
Surat,E045,Drain CCTV Inspection Unit,9,1,16.6,3800000
Pune,E045,Drain CCTV Inspection Unit,9,1,15.9,3800000
Lucknow,E045,Drain CCTV Inspection Unit,8,1,14.3,3800000
Jaipur,E045,Drain CCTV Inspection Unit,8,1,14.1,3800000
Nagpur,E045,Drain CCTV Inspection Unit,8,1,13.4,3800000
Indore,E045,Drain CCTV Inspection Unit,8,1,13.2,3800000
Coimbatore,E045,Drain CCTV Inspection Unit,8,1,13.1,3800000
Visakhapatnam,E045,Drain CCTV Inspection Unit,8,1,13.0,3800000
Thane,E045,Drain CCTV Inspection Unit,8,1,12.9,3800000
Ludhiana,E045,Drain CCTV Inspection Unit,8,1,12.8,3800000
Kanpur,E045,Drain CCTV Inspection Unit,7,1,12.8,3800000
Faridabad,E045,Drain CCTV Inspection Unit,8,0,12.7,0
Asansol,E045,Drain CCTV Inspection Unit,7,0,11.2,0
Howrah,E045,Drain CCTV Inspection Unit,7,0,11.1,0
Patna,E045,Drain CCTV Inspection Unit,6,0,11.1,0
Kochi,E045,Drain CCTV Inspection Unit,8,0,10.98,0
Nashik,E045,Drain CCTV Inspection Unit,7,0,10.7,0
Madurai,E045,Drain CCTV Inspection Unit,7,0,10.5,0
Jabalpur,E045,Drain CCTV Inspection Unit,7,0,10.3,0
Amritsar,E045,Drain CCTV Inspection Unit,7,0,10.2,0
Raipur,E045,Drain CCTV Inspection Unit,7,0,10.15,0
Mysuru,E045,Drain CCTV Inspection Unit,7,0,10.1,0
Vijayawada,E045,Drain CCTV Inspection Unit,7,0,10.1,0
Agra,E045,Drain CCTV Inspection Unit,6,0,9.7,0
Durgapur,E045,Drain CCTV Inspection Unit,7,0,9.58,0
Varanasi,E045,Drain CCTV Inspection Unit,6,0,9.4,0
Aurangabad,E045,Drain CCTV Inspection Unit,6,0,9.3,0
Srinagar,E045,Drain CCTV Inspection Unit,6,0,9.25,0
Ranchi,E045,Drain CCTV Inspection Unit,6,0,9.2,0
Jodhpur,E045,Drain CCTV Inspection Unit,6,0,9.1,0
Bhubaneswar,E045,Drain CCTV Inspection Unit,6,0,9.1,0
Gwalior,E045,Drain CCTV Inspection Unit,6,0,9.05,0
Guwahati,E045,Drain CCTV Inspection Unit,6,0,8.95,0
Hubli,E045,Drain CCTV Inspection Unit,6,0,8.95,0
Dehradun,E045,Drain CCTV Inspection Unit,6,0,8.85,0
Siliguri,E045,Drain CCTV Inspection Unit,6,0,8.7,0
Udaipur,E045,Drain CCTV Inspection Unit,6,0,8.6,0
Panaji,E045,Drain CCTV Inspection Unit,7,0,8.15,0
Tirupati,E045,Drain CCTV Inspection Unit,6,0,7.45,0
Haldia,E045,Drain CCTV Inspection Unit,6,0,7.2,0
Kharagpur,E045,Drain CCTV Inspection Unit,5,0,6.3,0
Shimla,E045,Drain CCTV Inspection Unit,5,0,6.25,0
Malda,E045,Drain CCTV Inspection Unit,5,0,6.25,0
Delhi,E046,Floating Trash Skimmer,20,2,44.0,8400000
Mumbai,E046,Floating Trash Skimmer,17,2,34.5,8400000
Bengaluru,E046,Floating Trash Skimmer,14,1,27.4,4200000
Chennai,E046,Floating Trash Skimmer,13,1,25.1,4200000
Hyderabad,E046,Floating Trash Skimmer,12,1,23.8,4200000
Ahmedabad,E046,Floating Trash Skimmer,11,1,21.6,4200000
Kolkata,E046,Floating Trash Skimmer,11,1,20.5,4200000
Surat,E046,Floating Trash Skimmer,10,1,17.6,4200000
Pune,E046,Floating Trash Skimmer,10,1,16.9,4200000
Lucknow,E046,Floating Trash Skimmer,9,1,15.3,4200000
Jaipur,E046,Floating Trash Skimmer,9,1,15.1,4200000
Nagpur,E046,Floating Trash Skimmer,9,1,14.4,4200000
Indore,E046,Floating Trash Skimmer,9,1,14.2,4200000
