municipality,equipment_id,equipment_name,predicted_demand,allocated_stock,procurement_needed,urgency_level,unit_cost_lakhs,estimated_procurement_cost,annual_budget_lakhs,budget_feasible
Surat,E029,Truck Mounted Suction Cum Jetting Machine,19,2,17,HIGH,42,714,140000,YES
Pune,E029,Truck Mounted Suction Cum Jetting Machine,20,1,19,HIGH,42,798,120000,YES
Jaipur,E029,Truck Mounted Suction Cum Jetting Machine,17,1,16,HIGH,42,672,98000,YES
Lucknow,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,95000,YES
Kanpur,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,85000,YES
Coimbatore,E029,Truck Mounted Suction Cum Jetting Machine,19,1,18,HIGH,42,756,70000,YES
Nagpur,E029,Truck Mounted Suction Cum Jetting Machine,17,1,16,HIGH,42,672,70000,YES
Thane,E029,Truck Mounted Suction Cum Jetting Machine,19,1,18,HIGH,42,756,76000,YES
Indore,E029,Truck Mounted Suction Cum Jetting Machine,17,1,16,HIGH,42,672,75000,YES
Patna,E029,Truck Mounted Suction Cum Jetting Machine,14,1,13,HIGH,42,546,52000,YES
Visakhapatnam,E029,Truck Mounted Suction Cum Jetting Machine,18,1,17,HIGH,42,714,82000,YES
Ludhiana,E029,Truck Mounted Suction Cum Jetting Machine,17,1,16,HIGH,42,672,62000,YES
Faridabad,E029,Truck Mounted Suction Cum Jetting Machine,17,1,16,HIGH,42,672,68000,YES
Howrah,E029,Truck Mounted Suction Cum Jetting Machine,17,1,16,HIGH,42,672,51000,YES
Asansol,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,56000,YES
Agra,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,53000,YES
Nashik,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,58000,YES
Amritsar,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,46000,YES
Aurangabad,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,45000,YES
Varanasi,E029,Truck Mounted Suction Cum Jetting Machine,14,1,13,HIGH,42,546,47000,YES
Madurai,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,51000,YES
Raipur,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,41000,YES
Bhubaneswar,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,42000,YES
Vijayawada,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,43000,YES
Jabalpur,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,44000,YES
Mysuru,E029,Truck Mounted Suction Cum Jetting Machine,16,1,15,HIGH,42,630,42000,YES
Kochi,E029,Truck Mounted Suction Cum Jetting Machine,18,1,17,HIGH,42,714,52000,YES
Guwahati,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,35000,YES
Ranchi,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,38000,YES
Gwalior,E029,Truck Mounted Suction Cum Jetting Machine,14,1,13,HIGH,42,546,37000,YES
Srinagar,E029,Truck Mounted Suction Cum Jetting Machine,12,1,11,HIGH,42,462,39000,YES
Hubli,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,33000,YES
Jodhpur,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,41000,YES
Udaipur,E029,Truck Mounted Suction Cum Jetting Machine,14,1,13,HIGH,42,546,28000,YES
Siliguri,E029,Truck Mounted Suction Cum Jetting Machine,14,1,13,HIGH,42,546,30000,YES
Dehradun,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,36000,YES
Durgapur,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,27000,YES
Tirupati,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,24000,YES
Panaji,E029,Truck Mounted Suction Cum Jetting Machine,15,1,14,HIGH,42,588,22000,YES
Malda,E029,Truck Mounted Suction Cum Jetting Machine,11,1,10,HIGH,42,420,14000,YES
Shimla,E029,Truck Mounted Suction Cum Jetting Machine,11,1,10,HIGH,42,420,16000,YES
Kharagpur,E029,Truck Mounted Suction Cum Jetting Machine,12,1,11,HIGH,42,462,17000,YES
Haldia,E029,Truck Mounted Suction Cum Jetting Machine,13,1,12,HIGH,42,504,15000,YES
Delhi,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,650000,YES
Mumbai,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,500000,YES
Bengaluru,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,320000,YES
Hyderabad,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,280000,YES
Chennai,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,310000,YES
Ahmedabad,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,230000,YES
Kolkata,E030,Sewer Jetting Machine,20,1,19,HIGH,24,456,210000,YES
Surat,E030,Sewer Jetting Machine,18,1,17,HIGH,24,408,140000,YES
Pune,E030,Sewer Jetting Machine,18,1,17,HIGH,24,408,120000,YES
Lucknow,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,95000,YES
Jaipur,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,98000,YES
Nagpur,E030,Sewer Jetting Machine,16,1,15,HIGH,24,360,70000,YES
Kanpur,E030,Sewer Jetting Machine,14,1,13,HIGH,24,312,85000,YES
Indore,E030,Sewer Jetting Machine,16,1,15,HIGH,24,360,75000,YES
Coimbatore,E030,Sewer Jetting Machine,17,1,16,HIGH,24,384,70000,YES
Ludhiana,E030,Sewer Jetting Machine,16,1,15,HIGH,24,360,62000,YES
Faridabad,E030,Sewer Jetting Machine,16,1,15,HIGH,24,360,68000,YES
Thane,E030,Sewer Jetting Machine,17,1,16,HIGH,24,384,76000,YES
Visakhapatnam,E030,Sewer Jetting Machine,16,1,15,HIGH,24,360,82000,YES
Patna,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,52000,YES
Asansol,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,56000,YES
Nashik,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,58000,YES
Madurai,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,51000,YES
Howrah,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,51000,YES
Agra,E030,Sewer Jetting Machine,13,1,12,HIGH,24,288,53000,YES
Jabalpur,E030,Sewer Jetting Machine,14,1,13,HIGH,24,312,44000,YES
Mysuru,E030,Sewer Jetting Machine,15,1,14,HIGH,24,336,42000,YES
Kochi,E030,Sewer Jetting Machine,17,1,16,HIGH,24,384,52000,YES
Amritsar,E030,Sewer Jetting Machine,14,1,13,HIGH,24,312,46000,YES
Ranchi,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,38000,YES
Aurangabad,E030,Sewer Jetting Machine,13,1,12,HIGH,24,288,45000,YES
Varanasi,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,47000,YES
Gwalior,E030,Sewer Jetting Machine,13,1,12,HIGH,24,288,37000,YES
Raipur,E030,Sewer Jetting Machine,13,1,12,HIGH,24,288,41000,YES
Srinagar,E030,Sewer Jetting Machine,11,1,10,HIGH,24,240,39000,YES
Hubli,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,33000,YES
Jodhpur,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,41000,YES
Bhubaneswar,E030,Sewer Jetting Machine,13,1,12,HIGH,24,288,42000,YES
Vijayawada,E030,Sewer Jetting Machine,14,1,13,HIGH,24,312,43000,YES
Siliguri,E030,Sewer Jetting Machine,13,1,12,HIGH,24,288,30000,YES
Dehradun,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,36000,YES
Durgapur,E030,Sewer Jetting Machine,14,1,13,HIGH,24,312,27000,YES
Guwahati,E030,Sewer Jetting Machine,11,1,10,HIGH,24,240,35000,YES
Udaipur,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,28000,YES
Tirupati,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,24000,YES
Panaji,E030,Sewer Jetting Machine,14,1,13,HIGH,24,312,22000,YES
Malda,E030,Sewer Jetting Machine,10,1,9,HIGH,24,216,14000,YES
Shimla,E030,Sewer Jetting Machine,10,1,9,HIGH,24,216,16000,YES
Kharagpur,E030,Sewer Jetting Machine,11,1,10,HIGH,24,240,17000,YES
Haldia,E030,Sewer Jetting Machine,12,1,11,HIGH,24,264,15000,YES
Delhi,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,650000,YES
Mumbai,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,500000,YES
Bengaluru,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,320000,YES
Hyderabad,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,280000,YES
Chennai,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,310000,YES
Ahmedabad,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,230000,YES
Kolkata,E031,High Pressure Sewer Cleaner,20,2,18,HIGH,20,360,210000,YES
Surat,E031,High Pressure Sewer Cleaner,18,2,16,HIGH,20,320,140000,YES
Pune,E031,High Pressure Sewer Cleaner,18,2,16,HIGH,20,320,120000,YES
Lucknow,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,95000,YES
Jaipur,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,98000,YES
Nagpur,E031,High Pressure Sewer Cleaner,16,2,14,HIGH,20,280,70000,YES
Kanpur,E031,High Pressure Sewer Cleaner,14,2,12,HIGH,20,240,85000,YES
Indore,E031,High Pressure Sewer Cleaner,16,2,14,HIGH,20,280,75000,YES
Coimbatore,E031,High Pressure Sewer Cleaner,17,2,15,HIGH,20,300,70000,YES
Ludhiana,E031,High Pressure Sewer Cleaner,16,2,14,HIGH,20,280,62000,YES
Faridabad,E031,High Pressure Sewer Cleaner,16,2,14,HIGH,20,280,68000,YES
Thane,E031,High Pressure Sewer Cleaner,17,2,15,HIGH,20,300,76000,YES
Visakhapatnam,E031,High Pressure Sewer Cleaner,16,2,14,HIGH,20,280,82000,YES
Patna,E031,High Pressure Sewer Cleaner,12,2,10,HIGH,20,200,52000,YES
Asansol,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,56000,YES
Nashik,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,58000,YES
Madurai,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,51000,YES
Howrah,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,51000,YES
Agra,E031,High Pressure Sewer Cleaner,13,2,11,HIGH,20,220,53000,YES
Jabalpur,E031,High Pressure Sewer Cleaner,14,2,12,HIGH,20,240,44000,YES
Mysuru,E031,High Pressure Sewer Cleaner,15,2,13,HIGH,20,260,42000,YES
Kochi,E031,High Pressure Sewer Cleaner,17,2,15,HIGH,20,300,52000,YES
Amritsar,E031,High Pressure Sewer Cleaner,14,2,12,HIGH,20,240,46000,YES
Ranchi,E031,High Pressure Sewer Cleaner,12,2,10,HIGH,20,200,38000,YES
Aurangabad,E031,High Pressure Sewer Cleaner,13,2,11,HIGH,20,220,45000,YES
Varanasi,E031,High Pressure Sewer Cleaner,12,2,10,HIGH,20,200,47000,YES
Gwalior,E031,High Pressure Sewer Cleaner,13,2,11,HIGH,20,220,37000,YES
Raipur,E031,High Pressure Sewer Cleaner,13,2,11,HIGH,20,220,41000,YES
Srinagar,E031,High Pressure Sewer Cleaner,11,2,9,HIGH,20,180,39000,YES
Hubli,E031,High Pressure Sewer Cleaner,12,2,10,HIGH,20,200,33000,YES
Jodhpur,E031,High Pressure Sewer Cleaner,12,2,10,HIGH,20,200,41000,YES
Bhubaneswar,E031,High Pressure Sewer Cleaner,13,2,11,HIGH,20,220,42000,YES
Vijayawada,E031,High Pressure Sewer Cleaner,14,2,12,HIGH,20,240,43000,YES
Siliguri,E031,High Pressure Sewer Cleaner,13,2,11,HIGH,20,220,30000,YES
Dehradun,E031,High Pressure Sewer Cleaner,12,2,10,HIGH,20,200,36000,YES
Durgapur,E031,High Pressure Sewer Cleaner,14,2,12,HIGH,20,240,27000,YES
Guwahati,E031,High Pressure Sewer Cleaner,11,2,9,HIGH,20,180,35000,YES
Udaipur,E031,High Pressure Sewer Cleaner,12,1,11,HIGH,20,220,28000,YES
Tirupati,E031,High Pressure Sewer Cleaner,12,1,11,HIGH,20,220,24000,YES
Panaji,E031,High Pressure Sewer Cleaner,14,1,13,HIGH,20,260,22000,YES
Malda,E031,High Pressure Sewer Cleaner,10,1,9,HIGH,20,180,14000,YES
Shimla,E031,High Pressure Sewer Cleaner,10,1,9,HIGH,20,180,16000,YES
Kharagpur,E031,High Pressure Sewer Cleaner,11,1,10,HIGH,20,200,17000,YES
Haldia,E031,High Pressure Sewer Cleaner,12,1,11,HIGH,20,220,15000,YES
Delhi,E032,Root Cutting System for Sewer Line,18,2,16,HIGH,14,224,650000,YES
Mumbai,E032,Root Cutting System for Sewer Line,15,1,14,HIGH,14,196,500000,YES
Bengaluru,E032,Root Cutting System for Sewer Line,12,1,11,HIGH,14,154,320000,YES
Chennai,E032,Root Cutting System for Sewer Line,11,1,10,HIGH,14,140,310000,YES
Hyderabad,E032,Root Cutting System for Sewer Line,11,1,10,HIGH,14,140,280000,YES
Ahmedabad,E032,Root Cutting System for Sewer Line,10,1,9,HIGH,14,126,230000,YES
Kolkata,E032,Root Cutting System for Sewer Line,10,1,9,HIGH,14,126,210000,YES
Surat,E032,Root Cutting System for Sewer Line,9,1,8,HIGH,14,112,140000,YES
Pune,E032,Root Cutting System for Sewer Line,9,1,8,HIGH,14,112,120000,YES
Lucknow,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,95000,YES
Kanpur,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,85000,YES
Jaipur,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,98000,YES
Patna,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,52000,YES
Visakhapatnam,E032,Root Cutting System for Sewer Line,8,1,7,HIGH,14,98,82000,YES
Coimbatore,E032,Root Cutting System for Sewer Line,8,1,7,HIGH,14,98,70000,YES
Nagpur,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,70000,YES
Indore,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,75000,YES
Thane,E032,Root Cutting System for Sewer Line,8,1,7,HIGH,14,98,76000,YES
Ludhiana,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,62000,YES
Faridabad,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,68000,YES
Howrah,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,51000,YES
Nashik,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,58000,YES
Madurai,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,51000,YES
Varanasi,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,47000,YES
Asansol,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,56000,YES
Agra,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,53000,YES
Raipur,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,41000,YES
Aurangabad,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,45000,YES
Mysuru,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,42000,YES
Guwahati,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,35000,YES
Srinagar,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,39000,YES
Gwalior,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,37000,YES
Bhubaneswar,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,42000,YES
Ranchi,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,38000,YES
Jabalpur,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,44000,YES
Amritsar,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,46000,YES
Jodhpur,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,41000,YES
Vijayawada,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,43000,YES
Hubli,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,33000,YES
Kochi,E032,Root Cutting System for Sewer Line,7,1,6,HIGH,14,84,52000,YES
Dehradun,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,36000,YES
Durgapur,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,27000,YES
Siliguri,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,30000,YES
Udaipur,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,28000,YES
Kharagpur,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,17000,YES
Tirupati,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,24000,YES
Malda,E032,Root Cutting System for Sewer Line,4,1,3,HIGH,14,42,14000,YES
Shimla,E032,Root Cutting System for Sewer Line,4,1,3,HIGH,14,42,16000,YES
Haldia,E032,Root Cutting System for Sewer Line,5,1,4,HIGH,14,56,15000,YES
Panaji,E032,Root Cutting System for Sewer Line,6,1,5,HIGH,14,70,22000,YES
Delhi,E033,Sewer Inspection Camera,18,2,16,HIGH,18,288,650000,YES
Mumbai,E033,Sewer Inspection Camera,15,1,14,HIGH,18,252,500000,YES
Bengaluru,E033,Sewer Inspection Camera,12,1,11,HIGH,18,198,320000,YES
Chennai,E033,Sewer Inspection Camera,11,1,10,HIGH,18,180,310000,YES
Hyderabad,E033,Sewer Inspection Camera,11,1,10,HIGH,18,180,280000,YES
Ahmedabad,E033,Sewer Inspection Camera,10,1,9,HIGH,18,162,230000,YES
Kolkata,E033,Sewer Inspection Camera,10,1,9,HIGH,18,162,210000,YES
Surat,E033,Sewer Inspection Camera,9,1,8,HIGH,18,144,140000,YES
Pune,E033,Sewer Inspection Camera,9,1,8,HIGH,18,144,120000,YES
Lucknow,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,95000,YES
Kanpur,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,85000,YES
Jaipur,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,98000,YES
Patna,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,52000,YES
Visakhapatnam,E033,Sewer Inspection Camera,8,1,7,HIGH,18,126,82000,YES
Coimbatore,E033,Sewer Inspection Camera,8,1,7,HIGH,18,126,70000,YES
Nagpur,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,70000,YES
Indore,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,75000,YES
Thane,E033,Sewer Inspection Camera,8,1,7,HIGH,18,126,76000,YES
Ludhiana,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,62000,YES
Faridabad,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,68000,YES
Howrah,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,51000,YES
Nashik,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,58000,YES
Madurai,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,51000,YES
Varanasi,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,47000,YES
Asansol,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,56000,YES
Agra,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,53000,YES
Raipur,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,41000,YES
Aurangabad,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,45000,YES
Mysuru,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,42000,YES
Guwahati,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,35000,YES
Srinagar,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,39000,YES
Gwalior,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,37000,YES
Bhubaneswar,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,42000,YES
Ranchi,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,38000,YES
Jabalpur,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,44000,YES
Amritsar,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,46000,YES
Jodhpur,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,41000,YES
Vijayawada,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,43000,YES
Hubli,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,33000,YES
Kochi,E033,Sewer Inspection Camera,7,1,6,HIGH,18,108,52000,YES
Dehradun,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,36000,YES
Durgapur,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,27000,YES
Siliguri,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,30000,YES
Udaipur,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,28000,YES
Kharagpur,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,17000,YES
Tirupati,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,24000,YES
Malda,E033,Sewer Inspection Camera,4,1,3,HIGH,18,54,14000,YES
Shimla,E033,Sewer Inspection Camera,4,1,3,HIGH,18,54,16000,YES
Haldia,E033,Sewer Inspection Camera,5,1,4,HIGH,18,72,15000,YES
Panaji,E033,Sewer Inspection Camera,6,1,5,HIGH,18,90,22000,YES
Delhi,E034,Portable Pipeline CCTV Unit,18,6,12,MEDIUM,22,264,650000,YES
Mumbai,E034,Portable Pipeline CCTV Unit,15,5,10,MEDIUM,22,220,500000,YES
Bengaluru,E034,Portable Pipeline CCTV Unit,12,5,7,MEDIUM,22,154,320000,YES
Chennai,E034,Portable Pipeline CCTV Unit,11,4,7,MEDIUM,22,154,310000,YES
Hyderabad,E034,Portable Pipeline CCTV Unit,11,4,7,MEDIUM,22,154,280000,YES
Ahmedabad,E034,Portable Pipeline CCTV Unit,10,4,6,MEDIUM,22,132,230000,YES
Kolkata,E034,Portable Pipeline CCTV Unit,10,4,6,MEDIUM,22,132,210000,YES
Surat,E034,Portable Pipeline CCTV Unit,9,4,5,MEDIUM,22,110,140000,YES
Pune,E034,Portable Pipeline CCTV Unit,9,4,5,MEDIUM,22,110,120000,YES
Lucknow,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,95000,YES
Kanpur,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,85000,YES
Jaipur,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,98000,YES
Patna,E034,Portable Pipeline CCTV Unit,6,4,2,LOW,22,44,52000,YES
Visakhapatnam,E034,Portable Pipeline CCTV Unit,8,4,4,MEDIUM,22,88,82000,YES
Coimbatore,E034,Portable Pipeline CCTV Unit,8,4,4,MEDIUM,22,88,70000,YES
Nagpur,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,70000,YES
Indore,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,75000,YES
Thane,E034,Portable Pipeline CCTV Unit,8,4,4,MEDIUM,22,88,76000,YES
Ludhiana,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,62000,YES
Faridabad,E034,Portable Pipeline CCTV Unit,7,4,3,MEDIUM,22,66,68000,YES
Howrah,E034,Portable Pipeline CCTV Unit,7,3,4,MEDIUM,22,88,51000,YES
Nashik,E034,Portable Pipeline CCTV Unit,7,3,4,MEDIUM,22,88,58000,YES
Madurai,E034,Portable Pipeline CCTV Unit,7,3,4,MEDIUM,22,88,51000,YES
Varanasi,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,47000,YES
Asansol,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,56000,YES
Agra,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,53000,YES
Raipur,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,41000,YES
Aurangabad,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,45000,YES
Mysuru,E034,Portable Pipeline CCTV Unit,7,3,4,MEDIUM,22,88,42000,YES
Guwahati,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,35000,YES
Srinagar,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,39000,YES
Gwalior,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,37000,YES
Bhubaneswar,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,42000,YES
Ranchi,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,38000,YES
Jabalpur,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,44000,YES
Amritsar,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,46000,YES
Jodhpur,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,41000,YES
Vijayawada,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,43000,YES
Hubli,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,33000,YES
Kochi,E034,Portable Pipeline CCTV Unit,7,3,4,MEDIUM,22,88,52000,YES
Dehradun,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,36000,YES
Durgapur,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,27000,YES
Siliguri,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,30000,YES
Udaipur,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,28000,YES
Kharagpur,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,17000,YES
Tirupati,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,24000,YES
Malda,E034,Portable Pipeline CCTV Unit,4,3,1,LOW,22,22,14000,YES
Shimla,E034,Portable Pipeline CCTV Unit,4,3,1,LOW,22,22,16000,YES
Haldia,E034,Portable Pipeline CCTV Unit,5,3,2,MEDIUM,22,44,15000,YES
Panaji,E034,Portable Pipeline CCTV Unit,6,3,3,MEDIUM,22,66,22000,YES
Delhi,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,650000,YES
Mumbai,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,500000,YES
Bengaluru,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,320000,YES
Hyderabad,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,280000,YES
Chennai,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,310000,YES
Ahmedabad,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,230000,YES
Kolkata,E035,Vacuum Sludge Tanker,20,2,18,HIGH,30,540,210000,YES
Surat,E035,Vacuum Sludge Tanker,18,2,16,HIGH,30,480,140000,YES
Pune,E035,Vacuum Sludge Tanker,18,2,16,HIGH,30,480,120000,YES
Lucknow,E035,Vacuum Sludge Tanker,15,2,13,HIGH,30,390,95000,YES
Jaipur,E035,Vacuum Sludge Tanker,15,2,13,HIGH,30,390,98000,YES
Nagpur,E035,Vacuum Sludge Tanker,16,2,14,HIGH,30,420,70000,YES
Kanpur,E035,Vacuum Sludge Tanker,14,2,12,HIGH,30,360,85000,YES
Indore,E035,Vacuum Sludge Tanker,16,2,14,HIGH,30,420,75000,YES
Coimbatore,E035,Vacuum Sludge Tanker,17,2,15,HIGH,30,450,70000,YES
